date_key,full_date,year,quarter,month,day,day_of_week
20210911,2021-09-11,2021,3,9,11,Saturday
20220326,2022-03-26,2022,1,3,26,Saturday
20231101,2023-11-01,2023,4,11,1,Wednesday
20220629,2022-06-29,2022,2,6,29,Wednesday
20220921,2022-09-21,2022,3,9,21,Wednesday
20230426,2023-04-26,2023,2,4,26,Wednesday
20211214,2021-12-14,2021,4,12,14,Tuesday
20210414,2021-04-14,2021,2,4,14,Wednesday
20211213,2021-12-13,2021,4,12,13,Monday
20211211,2021-12-11,2021,4,12,11,Saturday
20211212,2021-12-12,2021,4,12,12,Sunday
20231102,2023-11-02,2023,4,11,2,Thursday
20211216,2021-12-16,2021,4,12,16,Thursday
20230427,2023-04-27,2023,2,4,27,Thursday
20220922,2022-09-22,2022,3,9,22,Thursday
20230112,2023-01-12,2023,1,1,12,Thursday
20210415,2021-04-15,2021,2,4,15,Thursday
20210707,2021-07-07,2021,3,7,7,Wednesday
20220712,2022-07-12,2022,3,7,12,Tuesday
20220323,2022-03-23,2022,1,3,23,Wednesday
20210709,2021-07-09,2021,3,7,9,Friday
20220424,2022-04-24,2022,2,4,24,Sunday
20220422,2022-04-22,2022,2,4,22,Friday
20220415,2022-04-15,2022,2,4,15,Friday
20220308,2022-03-08,2022,1,3,8,Tuesday
20220420,2022-04-20,2022,2,4,20,Wednesday
20220412,2022-04-12,2022,2,4,12,Tuesday
20220407,2022-04-07,2022,2,4,7,Thursday
20210629,2021-06-29,2021,2,6,29,Tuesday
20211209,2021-12-09,2021,4,12,9,Thursday
20211206,2021-12-06,2021,4,12,6,Monday
20211204,2021-12-04,2021,4,12,4,Saturday
20211208,2021-12-08,2021,4,12,8,Wednesday
20211201,2021-12-01,2021,4,12,1,Wednesday
20211210,2021-12-10,2021,4,12,10,Friday
20211207,2021-12-07,2021,4,12,7,Tuesday
20211205,2021-12-05,2021,4,12,5,Sunday
20220321,2022-03-21,2022,1,3,21,Monday
20220310,2022-03-10,2022,1,3,10,Thursday
20220324,2022-03-24,2022,1,3,24,Thursday
20220225,2022-02-25,2022,1,2,25,Friday
20220317,2022-03-17,2022,1,3,17,Thursday
20220325,2022-03-25,2022,1,3,25,Friday
20220322,2022-03-22,2022,1,3,22,Tuesday
20220316,2022-03-16,2022,1,3,16,Wednesday
20210413,2021-04-13,2021,2,4,13,Tuesday
20210805,2021-08-05,2021,3,8,5,Thursday
20220320,2022-03-20,2022,1,3,20,Sunday
20220309,2022-03-09,2022,1,3,9,Wednesday
20220314,2022-03-14,2022,1,3,14,Monday
20220305,2022-03-05,2022,1,3,5,Saturday
20210910,2021-09-10,2021,3,9,10,Friday
20210909,2021-09-09,2021,3,9,9,Thursday
20211127,2021-11-27,2021,4,11,27,Saturday
20211203,2021-12-03,2021,4,12,3,Friday
20211124,2021-11-24,2021,4,11,24,Wednesday
20210701,2021-07-01,2021,3,7,1,Thursday
20210903,2021-09-03,2021,3,9,3,Friday
20210708,2021-07-08,2021,3,7,8,Thursday
20210823,2021-08-23,2021,3,8,23,Monday
20210906,2021-09-06,2021,3,9,6,Monday
20210907,2021-09-07,2021,3,9,7,Tuesday
20210706,2021-07-06,2021,3,7,6,Tuesday
20210702,2021-07-02,2021,3,7,2,Friday
20210902,2021-09-02,2021,3,9,2,Thursday
20210829,2021-08-29,2021,3,8,29,Sunday
20210705,2021-07-05,2021,3,7,5,Monday
20210905,2021-09-05,2021,3,9,5,Sunday
20210626,2021-06-26,2021,2,6,26,Saturday
20210416,2021-04-16,2021,2,4,16,Friday
20210704,2021-07-04,2021,3,7,4,Sunday
20210703,2021-07-03,2021,3,7,3,Saturday
20210811,2021-08-11,2021,3,8,11,Wednesday
20210908,2021-09-08,2021,3,9,8,Wednesday
20210625,2021-06-25,2021,2,6,25,Friday
20210630,2021-06-30,2021,2,6,30,Wednesday
20210901,2021-09-01,2021,3,9,1,Wednesday
20190521,2019-05-21,2019,2,5,21,Tuesday
